Modulo|CT|Nome|Descricao|Passos|Resultado Esperado|Criticidade|Status
Admin: Financeiro|CT120|Financeiro sem dados|Painel sem dados|1. Acessar /admin/financeiro com banco vazio|KPIs zerados ou padrao. Tabela vazia. Sem erros.|Baixa|admin recuperado - testar novamente
Admin: Usuarios do Sistema|CT121|Listar admins|Visualizar administradores|1. Acessar /admin/usuarios|Form Adicionar Admin (esq). Lista (dir): avatar nome email papel status Excluir.|Alta|admin recuperado - testar novamente
Admin: Usuarios do Sistema|CT122|Criar admin valido|Criar novo administrador|1. Preencher nome email papel senha 2. Adicionar|Admin adicionado. Novo admin consegue logar.|Alta|admin recuperado - testar novamente
Admin: Usuarios do Sistema|CT123|Email duplicado|Tentar criar com email existente|1. Email ja cadastrado 2. Tentar adicionar|Erro de duplicidade. Mensagem exibida.|Media|admin recuperado - testar novamente
Admin: Usuarios do Sistema|CT124|Excluir admin|Remover administrador|1. Clicar Excluir (que nao seja o proprio) 2. Confirmar|Admin removido. Nao consegue mais logar.|Alta|admin recuperado - testar novamente
Admin: Usuarios do Sistema|CT125|Excluir o proprio admin|Tentar excluir a si mesmo|1. Identificar seu card 2. Verificar botao Excluir|Botao Excluir nao visivel para o proprio usuario.|Alta|admin recuperado - testar novamente
Admin: Perfil|CT126|Atualizar perfil admin|Admin altera nome username tema|1. Acessar /admin/perfil 2. Modificar 3. Salvar|Perfil atualizado. Mesmo comportamento do perfil comum.|Media|admin recuperado - testar novamente
Admin: Perfil|CT127|Upload de foto (admin)|Admin envia foto|1. Em /admin/perfil clicar Escolher Foto 2. Selecionar imagem 3. Aguardar|Foto atualizada. Mesmo fluxo do perfil comum.|Media|admin recuperado - testar novamente
Publico: Onboarding|CT128|Onboarding bem-sucedido|Nova empresa se cadastra|1. Acessar /checkout/[slug] 2. Selecionar ciclo 3. Continuar 4. Preencher dados empresa/CEO 5. Criar Conta|Empresa CEO criados. Slug gerado. Redirecionado para login. CEO consegue logar.|Critica|passed
Publico: Onboarding|CT129|Slug ja existente|Tentar criar com slug em uso|1. Slug igual a existente 2. Tentar criar|Erro unique. Mensagem amigavel.|Alta|passed mas sem feedback adequado
Publico: Onboarding|CT130|Plano inexistente|Onboarding sem plano valido|1. Acessar /onboarding?planoId=id_invalido|Erro: Plano nao encontrado.|Media|testar posteriormente
Publico: Checkout|CT131|Visualizar checkout|Acessar pagina de checkout|1. Acessar /checkout/[slug] de plano existente|Resumo do plano. Toggle mensal/anual. Form pagamento mock.|Media|passed
Publico: Checkout|CT132|Plano nao encontrado|Checkout com slug inexistente|1. Acessar /checkout/slug_inexistente|Plano nao encontrado com link para homepage.|Media|passed
Publico: Checkout|CT133|Processar pagamento mock|Submeter formulario de checkout|1. Preencher dados 2. Selecionar metodo 3. Finalizar|Loading 2s. Redirecionado para onboarding.|Media|passed
APIs de IA|CT134|Verificar feature flags|Obter status das features de IA|GET /api/ai/features|Status 200. JSON com 4 booleanos.|Media|testar mais pra frente
APIs de IA|CT135|Sugerir candidatos valido|Chamar API de sugestao|POST /api/ai/sugerir-candidatos body: {cargoVago, liderVagoId}|200. {candidatos, usouIA}. Ordenados por score.|Media|ja funcionando
APIs de IA|CT136|Sugerir sem payload|Campos obrigatorios ausentes|POST /api/ai/sugerir-candidatos body: {}|400. Erro: cargoVago e liderVagoId sao obrigatorios.|Media|testar mais pra frente
APIs de IA|CT137|Sem autenticacao|API sem cookie de sessao|POST /api/ai/sugerir-candidatos sem cookie|API aceita sem autenticacao. Risco de seguranca.|Alta|testar mais pra frente
APIs de IA|CT138|Gerar feedback valido|Chamar API de feedback|POST /api/ai/feedback body: {avaliadorId, avaliadoId, criterios}|200. {feedback, usouIA}.|Media|testar mais pra frente
APIs de IA|CT139|Feedback sem payload|Campos obrigatorios ausentes|POST /api/ai/feedback sem criterios|400.|Media|testar mais pra frente
APIs de IA|CT140|Sugerir iniciativa valido|Chamar API de iniciativa|POST /api/ai/iniciativa body: {colaboradorId, esboco}|200. {sugestao: {titulo, descricao, resultado, unidade}, usouIA}.|Media|testar mais pra frente
APIs de IA|CT141|Analisar sentimento|Chamar API de sentimento|POST /api/ai/sentimento body: {colaboradorId}|200. {analise: {sentimento, score, insights}, usouIA}.|Media|testar mais pra frente
API de Upload de Foto|CT142|Upload sem autenticacao|Tentar enviar foto sem login|POST /api/upload-foto sem cookie + FormData com foto|401. {erro: Nao autorizado}.|Alta|passed
API de Upload de Foto|CT143|Upload sem arquivo|Enviar requisicao sem foto|POST /api/upload-foto com FormData vazio (autenticado)|400. {erro: Nenhum arquivo enviado}.|Media|passed
API de Upload de Foto|CT144|Upload de nao-imagem|Enviar arquivo .txt|POST /api/upload-foto com foto = .txt|400. {erro: O arquivo precisa ser uma imagem}.|Media|passed
Permissoes e RBAC|CT145|CEO edita qualquer colaborador|CEO edita OPERACIONAL|1. Logar como CEO 2. Editar OPERACIONAL 3. Salvar|Edicao permitida e persistida.|Critica|testar mais pra frente
Permissoes e RBAC|CT146|LIDER tenta editar DIRETOR|LIDER nao pode editar acima|1. Logar como LIDER 2. Tentar editar GERENTE/DIRETOR|Edicao nao permitida (erro de permissao).|Alta|testar mais pra frente
Permissoes e RBAC|CT147|CEO contrata DIRETOR|CEO contrata 1 nivel abaixo|1. Logar como CEO 2. Adicionar DIRETOR|Permitido.|Alta|passed
Permissoes e RBAC|CT148|CEO tenta contratar GERENTE|CEO nao pode contratar GERENTE|1. Logar como CEO 2. Tentar adicionar GERENTE|Bloqueado ou permissao negada.|Media|testar mais pra frente
Permissoes e RBAC|CT149|LIDER demite OPERACIONAL|LIDER demite subordinado|1. Logar como LIDER 2. Simular demissao de OPERACIONAL|Permitido.|Alta|testar mais pra frente
Permissoes e RBAC|CT150|DIRETOR promove para SUPERVISOR|DIRETOR promove subordinado|1. Logar como DIRETOR 2. Simular promocao de GERENTE para SUPERVISOR|Permitido (podePromoverPara = true).|Alta|testar mais pra frente
Seguranca|CT151|SQL Injection no login|Tentar SQL Injection|1. Acessar /login 2. Email: OR 1=1 -- 3. Senha qualquer 4. Entrar|Prisma usa parametrizacao. Inofensivo. Retorna erro.|Critica|nao testado
Seguranca|CT152|SQL Injection formularios|Injetar SQL em formulario|1. Inserir DROP TABLE no campo Nome 2. Submeter|Prisma escapa. Tabela nao afetada. Nome salvo literalmente.|Critica|testar mais pra frente
Seguranca|CT153|XSS no nome|Script no nome do colaborador|1. Criar colaborador com script 2. Visualizar|React escapa HTML. Script nao executa.|Critica|testar mais pra frente
Seguranca|CT154|XSS em comentario|HTML/script em texto|1. Criar avaliacao com XSS 2. Visualizar|React escapa. Nenhum script executado.|Critica|testar mais pra frente
Seguranca|CT155|CSRF server actions|Induzir acao via link externo|1. Pagina externa POST para /colaboradores/novo 2. Submeter|Next.js protege contra CSRF. Acao falha.|Alta|testar mais pra frente
Seguranca|CT156|JWT secret padrao|Verificar segredo JWT|1. Verificar auth.ts JWT_SECRET|RISCO: fallback inseguro. Se env var nao definida, qualquer um forja tokens.|Critica|testar mais pra frente
Seguranca|CT157|Cookie httpOnly|Cookie nao acessivel via JS|1. Fazer login 2. document.cookie no console|session nao aparece (httpOnly). tema aparece (proposital).|Alta|testar mais pra frente
Seguranca|CT158|Cookie secure producao|Flag Secure do cookie|1. Verificar auth-actions.ts|secure = NODE_ENV === production. Em producao, apenas HTTPS.|Critica|testar mais pra frente
Seguranca|CT159|Rate limiting login|Multiplas tentativas de login|1. Tentar 10x senha incorreta em sequencia|Sem rate limiting. Risco de brute force.|Alta|testar mais pra frente
Interface e UX|CT160|Navbar responsivo|Navbar em diferentes tamanhos|1. Estar logado 2. Redimensionar para 375px|Navbar adaptada (hamburguer). Links acessiveis.|Media|testar mais pra frente
Interface e UX|CT161|Breadcrumbs admin|Breadcrumbs nas paginas admin|1. Acessar /admin/empresas/[id]|Breadcrumb: Empresas / Nome.|Baixa|testar mais pra frente
Interface e UX|CT162|Modo escuro|Alternar para tema escuro|1. Clicar toggle tema 2. Navegar|Todas as paginas escuras. Sem quebras.|Media|passed
Interface e UX|CT163|Persistencia de tema|Tema persiste entre sessoes|1. Alterar para escuro 2. Fechar/reabrir|Tema mantido (cookie).|Media|passed
Interface e UX|CT164|Loading states|Indicadores de carregamento|1. Navegar entre paginas 2. Observar|Server-side: sem loading. Client-side: spinner. Upload: spinner.|Media|testar mais pra frente
Interface e UX|CT165|Pagina 404|Acessar rota inexistente|1. Acessar /rota-inexistente|Pagina 404 amigavel.|Baixa|corrigido (BUG-04)
Interface e UX|CT166|Fechar modal clique fora|Clicar no backdrop para fechar|1. Abrir modal 2. Clicar no backdrop|Modal fecha.|Media|nao testado
Interface e UX|CT167|Fechar modal Escape|Pressionar Escape|1. Abrir modal 2. Pressionar Escape|Modal fecha.|Media|passed
